conflict_cost,tech_spill,resource,final_gdp,final_gini,final_extinctions
0.2,0.1,10000,84187619601.76,0.111,0
0.2,0.2,500,35473479525.06,0.174,0
0.2,0.2,1000,45463118060.74,0.160,0
0.2,0.2,2000,49229037287.33,0.186,0
0.2,0.2,5000,63774357995.66,0.200,0
0.2,0.2,10000,87282827575.09,0.138,0
0.2,0.3,500,29188196167.88,0.219,0
0.2,0.3,1000,47081869909.13,0.152,0
0.2,0.3,2000,36949130897.27,0.131,0
0.2,0.3,5000,71703616586.36,0.116,0
0.2,0.3,10000,66209414452.28,0.158,0
